순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,연도,HR/AB,규정타석_충족,시즌진행중,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
45,장성우,KT,0.268,131,489,418,53,112,19,0,19,188,81,2,8,2024,0.0455,True,,38,90,138,0.65,14,0.7,4.09,0.182,71.4,0.272
46,이주형,키움,0.266,115,537,473,82,126,19,3,13,190,60,0,1,2024,0.0275,True,,35,111,118,0.94,5,0.41,3.79,0.135,70.1,0.259
47,박해민,LG,0.263,144,553,482,72,127,16,6,6,173,56,5,9,2024,0.0124,True,,28,102,161,0.63,4,0.46,4.08,0.095,68.5,0.241
48,박승욱,롯데,0.262,139,468,405,57,106,19,1,7,148,53,3,3,2024,0.0173,True,,27,98,84,1.17,6,0.39,3.88,0.104,53.3,0.249
49,이재현,삼성,0.26,109,458,389,71,101,18,1,14,163,66,0,3,2024,0.036,True,,33,87,121,0.72,5,0.7,4.38,0.159,62.1,0.269
50,황재균,KT,0.26,137,536,493,60,128,22,0,13,189,58,5,2,2024,0.0264,True,,35,113,159,0.71,5,0.36,3.84,0.124,53.5,0.235
51,김휘집,NC,0.258,140,562,488,78,126,24,1,16,200,73,4,8,2024,0.0328,True,,41,91,160,0.57,8,0.44,4.14,0.152,68.3,0.254
52,최주환,키움,0.257,130,544,482,49,124,23,1,13,188,84,0,9,2024,0.027,True,,37,108,167,0.65,7,0.51,4.08,0.133,63.3,0.244
53,김영웅,삼성,0.252,126,509,456,65,115,16,3,28,221,79,1,4,2024,0.0614,True,,47,78,112,0.7,8,0.29,3.83,0.232,75.1,0.266
54,김주원,NC,0.252,134,475,385,61,97,18,2,9,146,49,9,5,2024,0.0234,True,,29,72,110,0.65,3,0.46,4.07,0.127,62.3,0.262
55,양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3,2024,0.0638,True,,60,96,181,0.53,10,0.38,4.05,0.242,80.8,0.264
